time_offset,timestamp,revs,distance
307.2280,1678385993.2280,1413,2924.9100
307.3420,1678385993.3420,1414,2926.9800
307.4560,1678385993.4560,1415,2929.0500
307.5700,1678385993.5700,1416,2931.1200
307.6840,1678385993.6840,1417,2933.1900
307.7980,1678385993.7980,1418,2935.2600
307.9120,1678385993.9120,1419,2937.3300
308.0260,1678385994.0260,1420,2939.4000
308.1130,1678385994.1130,1421,2941.4700
308.2260,1678385994.2260,1422,2943.5400
308.3390,1678385994.3390,1423,2945.6100
308.4521,1678385994.4521,1424,2947.6800
308.5651,1678385994.5651,1425,2949.7500
308.6781,1678385994.6781,1426,2951.8200
308.7911,1678385994.7911,1427,2953.8900
308.9041,1678385994.9041,1428,2955.9600
309.0171,1678385995.0171,1429,2958.0300
309.1178,1678385995.1178,1430,2960.1000
309.2356,1678385995.2356,1431,2962.1700
309.3533,1678385995.3533,1432,2964.2400
309.4711,1678385995.4711,1433,2966.3100
309.5889,1678385995.5889,1434,2968.3800
309.7067,1678385995.7067,1435,2970.4500
309.8245,1678385995.8245,1436,2972.5200
309.9422,1678385995.9422,1437,2974.5900
310.0600,1678385996.0600,1438,2976.6600
310.1196,1678385996.1196,1439,2978.7300
310.2393,1678385996.2393,1440,2980.8000
310.3589,1678385996.3589,1441,2982.8700
310.4785,1678385996.4785,1442,2984.9400
310.5981,1678385996.5981,1443,2987.0100
310.7178,1678385996.7178,1444,2989.0800
310.8374,1678385996.8374,1445,2991.1500
310.9570,1678385996.9570,1446,2993.2200
311.0766,1678385997.0766,1447,2995.2900
311.1280,1678385997.1280,1448,2997.3600
311.2561,1678385997.2561,1449,2999.4300
311.3841,1678385997.3841,1450,3001.5000
311.5121,1678385997.5121,1451,3003.5700
311.6402,1678385997.6402,1452,3005.6400
311.7682,1678385997.7682,1453,3007.7100
311.8963,1678385997.8963,1454,3009.7800
312.0243,1678385998.0243,1455,3011.8500
312.1417,1678385998.1417,1456,3013.9200
312.2834,1678385998.2834,1457,3015.9900
312.4251,1678385998.4251,1458,3018.0600
312.5668,1678385998.5668,1459,3020.1300
312.7085,1678385998.7085,1460,3022.2000
312.8501,1678385998.8501,1461,3024.2700
312.9918,1678385998.9918,1462,3026.3400
313.1335,1678385999.1335,1463,3028.4100
313.1373,1678385999.1373,1464,3030.4800
313.2746,1678385999.2746,1465,3032.5500
313.4119,1678385999.4119,1466,3034.6200
313.5492,1678385999.5492,1467,3036.6900
313.6865,1678385999.6865,1468,3038.7600
313.8238,1678385999.8238,1469,3040.8300
313.9611,1678385999.9611,1470,3042.9000
314.0984,1678386000.0984,1471,3044.9700
314.1443,1678386000.1443,1472,3047.0400
314.2887,1678386000.2887,1473,3049.1100
314.4330,1678386000.4330,1474,3051.1800
314.5773,1678386000.5773,1475,3053.2500
314.7216,1678386000.7216,1476,3055.3200
314.8660,1678386000.8660,1477,3057.3900
315.0103,1678386001.0103,1478,3059.4600
315.1556,1678386001.1556,1479,3061.5300
315.3111,1678386001.3111,1480,3063.6000
315.4667,1678386001.4667,1481,3065.6700
315.6222,1678386001.6222,1482,3067.7400
315.7778,1678386001.7778,1483,3069.8100
315.9333,1678386001.9333,1484,3071.8800
316.0889,1678386002.0889,1485,3073.9500
316.1906,1678386002.1906,1486,3076.0200
316.3813,1678386002.3813,1487,3078.0900
316.5719,1678386002.5719,1488,3080.1600
316.7625,1678386002.7625,1489,3082.2300
316.9531,1678386002.9531,1490,3084.3000
317.1438,1678386003.1438,1491,3086.3700
317.1636,1678386003.1636,1492,3088.4400
317.3272,1678386003.3272,1493,3090.5100
317.4908,1678386003.4908,1494,3092.5800
317.6544,1678386003.6544,1495,3094.6500
317.8180,1678386003.8180,1496,3096.7200
317.9816,1678386003.9816,1497,3098.7900
318.1452,1678386004.1452,1498,3100.8600
318.1995,1678386004.1995,1499,3102.9300
